CustomerId,CredRate,Geography,Gender,Age,Tenure,Balance,Prod Number,HasCrCard,ActMem,EstimatedSalary,Exited
15647091,725,Germany,Male,19,0,68299.38,1,0,0,41052.375,0
15623944,511,Spain,Female,66,4,0,1,1,0,1478.799,1
15804771,614,France,Male,51,4,36617.328,1,1,1,42097.752,0
15651280,742,Germany,Male,35,5,123171.3,1,0,0,76058.613,0
15773469,687,Germany,Female,27,9,137095.992,2,0,0,113845.338,0
15702014,555,Spain,Male,33,1,50476.221,2,0,0,160918.317,0
15751208,684,Spain,Male,56,8,70836.444,1,1,1,89458.524,0
15592461,603,Germany,Male,26,4,98249.733,1,1,1,83556.603,0
15789484,751,Germany,Female,36,6,152848.314,2,1,1,24982.524,0
15696061,581,Germany,Female,34,1,91469.736,1,1,0,99388.359,0
15641582,735,Germany,Male,43,10,110862.009,2,1,1,177005.952,0
15638424,661,Germany,Female,35,5,135652.977,2,0,1,102291.165,0
15755648,675,France,Female,21,8,88535.934,1,1,0,16382.7,0
15703793,738,Germany,Male,58,2,120370.896,4,1,0,25536.474,1
15620344,813,France,Male,29,6,0,1,1,0,30558.483,0
15812518,657,Spain,Female,37,0,147246.462,1,0,1,39783.195,0
15779052,604,Germany,Female,25,5,142002.756,2,1,1,52584.129,0
15770811,519,France,Male,36,9,0,2,0,1,0,0
15780961,735,France,Female,21,1,160846.371,2,1,0,20149.2,0
15614049,664,France,Male,55,8,0,2,1,1,125245.476,0
15662085,678,France,Female,32,9,0,1,1,1,0,0
15575185,757,Spain,Male,33,5,69527.898,1,0,1,174815.667,0
15803136,416,Germany,Female,41,10,109970.694,2,1,0,88471.449,0
15706021,665,France,Female,34,1,86980.986,2,0,0,154272.294,0
15663706,777,France,Female,32,2,0,1,1,0,122812.371,1
15641732,543,France,Female,36,3,0,2,0,0,23417.631,0
15701164,506,France,Female,34,4,81276.858,1,1,1,143311.761,0
15738751,493,France,Female,46,4,0,2,1,0,1716.894,0
15805254,652,Spain,Female,75,10,0,2,1,1,103208.175,0
15762418,750,Spain,Male,22,3,109513.638,1,1,0,115779.015,1
15625759,729,France,Male,30,9,0,2,1,0,0,0
15622897,646,France,Female,46,4,0,3,1,0,83926.278,1
15767954,635,Germany,Female,28,3,73461.303,2,1,1,141112.224,0
15757535,647,Spain,Female,44,5,0,3,1,1,156784.698,1
15731511,808,France,Male,45,7,106763.895,2,1,0,132419.214,0
15809248,524,France,Female,36,10,0,2,1,0,0,0
15640635,769,France,Male,29,8,0,2,1,1,155061.549,0
15676966,730,Spain,Male,42,4,0,2,0,1,77384.223,0
15699461,515,Spain,Male,35,10,158646.555,1,0,1,109150.002,0
15738721,773,Spain,Male,41,9,92544.696,1,0,1,58135.725,0
15693683,814,Germany,Male,29,8,87377.76,2,1,1,177548.517,0
15604348,710,Spain,Male,22,8,0,2,0,0,89680.536,0
15633059,413,France,Male,34,9,0,2,0,0,5880.762,0
15808582,665,France,Female,40,6,0,1,1,1,145663.227,0
15743192,623,France,Female,44,6,0,2,0,0,150446.187,0
15580146,738,France,Male,31,9,74406.735,1,1,0,37773.648,0
15776605,528,Spain,Male,36,7,0,2,1,0,54482.904,0
15804919,670,Spain,Female,65,1,0,1,1,1,159890.112,1
15613854,622,Spain,Female,46,4,96365.943,2,1,1,27886.131,1
15599195,582,Germany,Male,32,1,80044.758,1,1,1,9049.077,0
15812878,785,Germany,Female,36,2,89826.165,1,0,1,33278.868,0
15602312,605,Spain,Male,33,5,135083.52,1,0,0,64676.511,0
15744689,479,Germany,Male,35,9,83550.501,1,1,0,89504.874,1
15803526,685,Germany,Male,30,3,81483.129,1,0,1,56774.592,0
15665790,538,Germany,Male,39,7,97249.59,2,1,0,24508.134,0
15715951,562,France,Male,42,2,90214.515,1,0,0,78117.669,0
15591100,675,Spain,Male,36,9,95571.495,1,0,1,20694.888,0
15609618,721,Germany,Male,28,9,139027.986,2,0,1,91170.846,1
15675522,628,Germany,Female,30,9,119116.161,2,1,1,66752.217,0
15705512,668,Germany,Female,37,6,151077.96,1,1,0,104074.461,0
15698028,506,France,Female,41,1,0,2,1,0,28589.67,0
15661670,524,Germany,Female,31,8,97036.767,1,1,0,179752.851,1
15600781,699,Germany,Male,34,4,166656.429,2,1,0,108751.032,0
15682472,828,France,Male,34,8,116490.006,2,0,0,34318.593,0
15580203,674,Spain,Male,39,6,108174.078,1,0,0,90117.855,0
15690673,656,France,Female,39,6,0,2,1,0,126962.892,0
15760085,684,Germany,Female,48,10,113745.978,1,1,1,178316.424,0
15779659,625,France,Female,28,3,0,1,0,0,165281.769,0
15627360,432,France,Male,42,9,137343.105,1,1,0,99238.716,1
15671137,549,France,Female,52,1,0,1,0,1,7772.445,1
15782688,625,Germany,Male,56,0,133656.516,1,1,0,42141.672,1
15575492,828,France,Female,41,7,0,2,1,0,154240.893,0
15591607,770,France,Male,24,9,91644.363,1,1,0,150530.715,0
15740404,758,France,Female,34,3,0,2,1,1,111803.544,0
15718369,795,Germany,Female,33,9,117776.187,1,1,1,103441.689,0
15677871,687,France,Male,38,9,110313.783,1,1,1,32047.992,0
15642004,686,France,Male,25,1,0,2,0,1,14813.433,0
15712543,789,Germany,Male,39,7,112345.614,2,1,1,111969.972,0
15584518,589,Germany,Female,50,5,130405.545,2,1,1,31447.107,0
15802381,461,Germany,Female,34,5,57297.537,1,0,1,151005.852,0
15610156,637,France,Male,40,2,120116.79,1,0,1,83848.806,0
15594408,584,Spain,Female,48,2,191831.58,1,1,0,67645.125,1
15640905,579,Spain,Female,35,1,116541.324,2,0,1,7731.747,1
15698932,756,Germany,Male,44,10,123706.881,1,1,0,170589.51,0
15724944,663,France,Male,34,7,0,2,1,1,162384.516,0
15628145,682,France,Female,43,5,113266.737,1,1,1,173986.497,0
15713483,793,Spain,Male,52,2,0,1,1,0,143211.438,1
15612350,691,France,Female,31,5,36823.995,1,1,0,113592.456,1
15800703,485,Spain,Female,21,5,101841.498,1,1,1,48727.35,0
15705707,635,Spain,Female,29,8,124467.246,2,1,0,126967.959,0
15754105,650,France,Male,37,5,96270.462,1,0,0,22045.527,0
15703264,735,France,Male,44,9,108613.467,1,1,0,67352.706,0
15794413,416,France,Male,32,0,0,2,0,1,790.983,0
15650237,754,Spain,Female,32,7,0,2,1,0,80568.675,0
15759618,535,France,Female,48,9,0,1,1,0,134903.511,1
15811589,716,Spain,Male,42,8,0,2,1,0,162720.378,0
15689044,539,France,Male,37,2,114848.631,1,1,0,88781.598,0
15709368,614,France,Female,43,6,0,2,1,1,98137.377,0
15679145,706,Spain,Male,57,7,0,1,1,0,16147.044,1
15655007,758,France,Female,33,7,0,2,0,0,74696.823,0
15623595,586,Spain,Female,28,2,0,2,1,1,82860.615,0
15589975,646,France,Female,73,6,87533.325,1,0,1,94247.694,0
15804017,631,Germany,Female,33,4,110922.03,1,0,0,101418.813,0
15692132,717,Spain,Female,22,6,90954.225,1,0,1,76229.604,0
15641122,684,France,Male,30,2,0,2,1,0,75126.438,0
15630910,800,France,Female,49,7,97206.624,1,0,0,42412.599,0
15680772,721,Spain,Female,36,2,0,2,1,1,96280.02,0
15658929,683,Spain,Male,29,0,120332.601,1,1,0,50024.286,1
15585388,660,Germany,Male,31,9,112670.775,2,1,1,125886.987,0
15724623,704,Germany,Female,24,7,101730.798,1,1,0,146253.132,1
15588537,615,Spain,Female,41,9,98111.907,1,1,0,176849.964,0
15574692,667,Spain,Female,39,2,0,2,1,0,36649.116,1
15611325,682,Germany,Male,24,9,52136.829,2,0,0,47820.87,0
15587562,484,France,Female,29,4,117102.951,1,1,0,147616.101,0
15613172,628,Germany,Male,27,5,86243.841,2,1,0,140397.264,0
15651022,480,Germany,Male,44,10,116647.713,1,1,0,4925.43,1
15586310,578,France,Male,30,4,152515.881,1,1,0,100968.399,0
15625524,512,France,Male,40,5,0,2,1,1,131812.047,0
15755209,484,Spain,Female,35,7,120481.389,1,1,1,24557.49,0
15645248,510,France,Female,30,0,0,2,1,1,117498.123,0
15790355,606,Germany,Male,36,5,171431.532,2,0,0,161416.701,0
15762615,597,Spain,Female,40,8,91793.808,1,0,1,85296.708,0
15625426,754,Germany,Female,55,3,145447.929,1,1,0,7272.765,1
15716334,850,Spain,Female,45,2,110080.089,1,1,1,17534.25,0
15789669,510,France,Male,65,2,0,2,1,1,43264.449,0
15621075,778,Germany,Female,45,1,145935.378,2,1,0,157078.143,0
15810845,636,France,Male,42,2,0,2,1,1,49923.702,0
15719377,804,France,Female,50,4,0,1,1,1,7692.183,1
15654506,514,France,Male,32,8,0,2,1,0,86271.462,0
15771977,730,France,Female,39,1,89109.603,1,1,0,175451.22,0
15708710,525,Spain,Female,37,0,0,1,0,1,118369.548,0
15726676,616,Spain,Male,30,5,0,2,0,1,176497.659,0
15587421,687,Germany,Female,34,7,100249.362,2,1,0,133708.284,0
15726931,715,France,Female,41,8,50593.365,2,0,0,83684.349,1
15771086,512,France,Female,36,3,75894.993,2,1,0,15907.824,0
15756850,479,France,Male,40,1,0,2,0,0,103496.787,0
15702741,601,France,Male,32,8,83711.601,1,1,0,78261.678,0
15679200,580,Spain,Male,29,9,55539.396,2,1,0,115270.02,0
15594815,807,France,Male,35,3,157311.135,1,1,1,540.324,0
15635905,616,Spain,Female,32,6,0,2,1,1,38701.314,0
15777892,721,Germany,Male,37,3,96948.576,1,1,1,142732.008,0
15656176,501,France,Male,57,10,0,2,1,1,43062.471,0
15811127,521,France,Male,35,6,86781.456,1,1,0,9439.596,0
15604482,850,Spain,Male,30,2,126936.009,1,1,1,5380.38,0
15622911,759,France,Male,42,4,94878.162,1,0,1,109268.154,0
15600974,516,Spain,Male,50,5,0,1,0,1,131531.337,1
15727868,711,France,Female,38,2,116119.854,2,1,1,12937.374,1
15627801,512,Spain,Male,33,3,158999.958,1,1,0,85203.693,0
15773039,550,France,Male,37,3,0,1,1,1,161703.279,0
15755262,608,Spain,Female,41,3,80787.456,1,0,0,179374.266,1
15679531,618,France,Male,34,5,121459.077,1,1,1,136758.951,0
15684181,643,France,Male,45,5,0,1,1,0,128262.15,1
15612087,671,France,Male,45,2,95739.165,1,0,1,142438.158,0
15752047,689,Germany,Male,33,2,145633.176,2,1,0,152443.71,0
15624592,603,France,Male,31,8,0,2,1,1,152923.518,0
15573152,620,France,Female,41,9,0,2,0,0,79967.223,0
15594917,676,France,Female,34,1,56785.509,1,1,1,36581.229,0
15785542,572,Germany,Male,26,4,106458.309,2,0,0,54384.57,0
15723488,668,Germany,Male,47,7,96168.789,1,0,1,142163.118,1
15680920,695,France,Male,46,7,44561.295,1,1,0,119706.606,0
15786308,730,Spain,Female,33,9,0,2,0,0,158918.958,0
15659366,807,France,Male,43,1,95219.388,2,1,0,31399.236,1
15774854,592,France,Male,54,8,0,1,1,1,25863.939,1
15725311,726,France,Female,31,9,103249.845,2,1,1,88360.713,0
15787155,514,Spain,Male,30,7,0,1,0,1,112509.216,0
15727829,567,France,Male,42,2,0,2,1,1,151186.149,0
15733247,850,France,Male,33,10,0,1,1,0,4375.548,1
15568748,671,Germany,Male,45,6,89607.798,1,1,1,97985.205,1
15699029,670,France,Male,37,4,153502.119,2,1,0,178427.592,0
15774393,694,France,Female,30,9,0,2,1,1,24264.279,0
15676895,547,Germany,Female,39,6,67136.535,3,1,1,77171.868,1
15637753,751,Germany,Male,50,2,87199.551,1,1,0,69485.625,1
15605461,594,Germany,Female,29,3,117747.198,1,1,0,54943.677,0
15808473,673,France,Male,72,1,0,2,0,1,100783.071,0
15627000,610,France,Male,40,0,0,2,1,0,56009.34,0
15787174,512,France,Female,37,1,0,2,0,1,140494.527,0
15723886,767,Germany,Male,20,3,107742.825,2,0,1,135121.842,0
15704769,585,France,Female,67,5,102581.073,2,0,1,83831.499,0
15772896,763,Germany,Male,42,6,90144.675,1,1,0,30116.646,1
15711540,712,France,Female,29,2,0,1,1,1,129937.5,0
15764866,539,Germany,Female,43,3,104598.45,3,1,0,50223.564,1
15794056,668,France,Female,46,2,0,3,1,0,80143.614,1
15795149,703,France,Male,28,2,73056.447,2,0,1,146530.944,0
15812009,662,Spain,Male,38,4,0,2,1,0,122633.685,0
15651001,725,Germany,Female,39,5,105123.42,1,1,0,111647.673,0
15813844,703,France,Male,37,8,95365.512,2,0,1,66742.92,0
15596175,659,Germany,Male,67,6,105670.44,1,1,1,40563.981,1
15576269,523,Spain,Male,34,7,0,2,1,0,55827.054,0
15797219,635,France,Female,40,10,111147.822,1,1,0,118757.907,1
15685500,772,Germany,Male,26,7,137160.459,2,1,0,71472.6,0
15599792,545,France,Female,26,1,0,2,1,1,179674.704,0
15657566,634,Germany,Male,24,8,92788.065,1,1,1,141819.561,0
15772423,739,Germany,Male,54,8,113776.326,1,1,0,120978.675,1
15628112,771,Germany,Female,36,5,70062.21,1,0,0,89825.391,0
15753754,587,Spain,Female,34,1,0,2,1,1,88139.412,0
15793726,681,France,Female,79,0,0,2,0,1,153872.091,0
15694717,544,Germany,Male,37,2,71758.719,1,1,1,51803.055,0
15665834,696,Spain,Male,28,8,0,1,0,0,159042.123,0
15765297,766,Spain,Male,41,0,0,2,0,1,30854.907,0
15636684,727,France,Male,34,10,0,2,1,1,178773.606,0
15592979,671,Germany,Female,34,6,33540.003,2,0,0,141225.408,0
15750803,693,France,Female,30,6,115193.025,1,1,1,45411.48,0
15607178,850,Germany,Male,38,3,49410.909,1,1,1,126067.995,0
15713853,732,Germany,Male,42,9,97873.272,2,1,1,58790.799,0
15673481,726,Spain,Female,48,6,89915.571,1,1,0,57890.916,0
15686776,557,France,Female,32,6,166217.769,2,1,0,13460.796,0
15673693,682,France,Female,26,0,99588.618,1,0,1,100691.289,0
15700696,738,Spain,Male,31,9,71117.82,1,1,1,16745.607,0
15813163,531,Spain,Female,36,9,89316.459,1,1,0,110823.309,0
15653857,498,France,Male,34,2,0,2,1,1,133675.416,0
15777076,651,France,Male,36,7,0,2,1,0,12508.479,0
15717398,549,Spain,Female,39,7,0,1,0,0,73133.325,1
15799217,791,Germany,Female,35,7,47192.58,1,1,0,144946.575,0
15787071,650,Spain,Male,41,9,0,2,0,1,172439.703,0
15619955,733,Germany,Male,34,3,90304.164,3,1,0,43703.271,1
15796505,811,Germany,Female,34,1,134367.471,2,1,1,167705.766,0
15725166,707,France,Male,30,8,0,2,1,0,29843.433,0
15800116,712,Germany,Male,28,4,131044.896,1,0,1,84495.177,0
15758685,706,Spain,Female,37,7,0,2,1,1,99809.37,0
15694456,756,France,Male,62,3,0,1,1,1,10079.136,1
15767339,777,France,Female,53,10,0,2,1,0,170993.673,0
15683562,646,France,Male,35,6,75624.174,1,0,1,147830.121,0
15782210,714,France,Male,46,1,0,1,1,0,136951.011,1
15668893,782,France,Male,39,8,0,2,1,1,30554.703,0
15669169,775,Spain,Male,29,10,0,2,1,1,61329.537,0
15643024,479,Germany,Male,35,4,124847.028,1,1,1,42526.611,1
15699389,807,France,Male,42,7,106447.239,1,1,1,23297.148,0
15708608,799,France,Female,22,8,156767.382,2,0,1,173370.465,0
15626144,675,France,Male,40,7,101887.974,2,1,0,31119.624,0
15573112,602,Spain,Male,29,5,93516.552,1,1,0,145106.856,0
15790678,475,France,Female,32,8,107120.952,1,1,0,90734.661,0
15727556,744,Spain,Female,26,5,149668.101,1,1,1,163524.996,0
15697307,588,Spain,Male,34,10,0,2,1,0,71171.019,0
15652266,703,Germany,Male,42,9,56904.3,1,0,1,123584.688,0
15607098,747,Spain,Female,41,5,85069.053,2,1,0,175434.174,0
15655774,583,France,Male,27,7,0,2,1,0,46156.941,0
15590241,750,Spain,Female,34,9,101540.034,1,0,0,135361.377,1
15785819,681,France,Male,38,3,0,2,1,1,101242.764,0
15723654,773,France,Male,25,2,122312.997,1,1,0,66290.742,0
15774510,714,France,Female,31,4,112652.334,1,1,1,95973.201,0
15684173,687,Spain,Female,44,7,0,3,1,0,140268.168,1
15650068,511,France,Male,58,0,134205.579,1,1,1,146339.559,0
15811490,627,France,Male,33,5,0,2,1,1,93364.038,0
15803976,694,France,Female,31,10,0,2,1,0,144891.243,0
15682541,616,Spain,Female,36,6,119080.539,1,0,0,13916.556,0
15695699,687,France,Male,35,8,0,2,1,0,9300.645,0
15624188,712,France,Female,33,6,0,2,1,1,171617.544,0
15812191,553,France,Male,33,4,106274.601,1,0,0,84996.405,0
15636673,667,France,Male,31,1,107340.021,1,1,1,25431.867,0
15594898,731,France,Male,43,2,0,1,1,1,153031.455,1
15660211,629,Germany,Male,35,7,141162.561,2,1,0,28641.861,0
15773972,614,France,Male,50,4,123394.023,1,1,0,114449.841,1
15746726,438,Germany,Male,31,8,70558.821,1,1,0,40443.309,0
15712287,652,France,Female,80,4,0,2,1,1,169742.763,0
15702919,729,Germany,Male,30,6,57302.478,1,1,0,130600.233,0
15674398,642,France,Male,38,3,0,2,0,0,154317.447,0
15797960,806,Germany,Female,59,0,121766.697,1,1,0,164540.25,0
15631868,744,Spain,Male,36,2,138423.996,1,1,1,78491.997,0
15581539,474,Spain,Male,37,3,0,2,0,0,51457.788,0
15662736,559,France,Male,49,2,132362.802,1,1,0,108486.747,1
15666252,706,Spain,Male,42,9,0,2,1,1,25842.906,0
15677512,628,Spain,Female,22,3,0,1,1,0,76883.652,0
15626114,429,France,Male,24,4,86167.575,1,1,0,41553.675,0
15810834,525,Spain,Female,57,2,131368.797,1,1,1,58003.524,0
15678910,680,France,Female,30,8,127297.575,1,1,1,14651.073,0
15694408,749,France,Male,40,1,125361.369,1,1,0,164569.878,1
15585215,763,France,Female,31,4,0,2,0,0,45364.248,0
15682757,734,France,Male,30,3,0,2,1,0,96876.225,0
15736601,716,France,Male,35,4,129985.983,1,1,0,120719.385,0
15601848,594,France,Male,35,2,0,2,1,0,93132.621,0
15736008,644,France,Female,46,9,85897.143,1,1,0,97884.945,1
15669064,671,Germany,Male,35,1,130363.866,1,1,1,161111.07,0
15624528,664,Germany,Male,26,7,104619.726,2,1,1,85630.626,0
15598493,656,France,Male,50,7,0,2,0,1,64929.096,0
15601274,667,Spain,Female,40,1,131851.863,1,1,0,17246.601,0
15702669,663,Germany,Male,44,2,105325.74,2,0,1,130212.162,0
15728669,584,Germany,Female,30,8,100812.429,1,1,0,159994.827,1
15742668,626,Spain,Female,37,6,97442.433,1,1,0,5038.146,0
15697441,485,France,Male,29,7,163911.411,1,1,0,105145.659,1
15740476,659,Germany,Female,32,3,135831.366,2,0,1,157187.259,0
15648064,649,France,Male,33,2,0,2,1,0,1809.882,0
15636624,805,Spain,Female,39,5,148744.917,1,1,0,12698.865,1
15807923,716,Germany,Female,39,10,103771.179,1,1,0,39174.66,1
15745844,642,Germany,Female,40,6,116552.241,2,0,1,77489.307,1
15786170,659,France,Male,31,4,106508.034,1,0,0,145416.771,0
15681081,545,Spain,Female,47,5,0,2,1,1,35073.126,0
15684484,543,France,Male,22,8,0,2,0,0,114828.498,0
15785869,718,France,Female,25,7,0,2,1,0,27342.108,0
15763859,840,France,Female,43,7,0,2,1,0,81818.055,0
15658935,630,Germany,Female,34,9,96243.345,2,1,0,124447.509,0
15747358,643,Germany,Male,59,3,153298.233,1,1,1,28954.611,0
15735203,654,Germany,Female,32,1,103059.765,1,1,1,113528.907,0
15576256,582,France,Male,39,5,0,2,1,1,116903.637,0
15659420,659,Spain,Male,32,3,96834.699,2,1,1,92175.156,0
15593365,762,Spain,Male,39,2,73145.817,1,1,1,16847.703,0
15777352,568,Spain,Female,32,7,152459.64,1,1,0,55742.598,0
15812007,670,Spain,Male,25,6,0,2,1,1,70523.046,0
15625461,613,France,Female,45,1,169057.791,2,1,1,132501.843,0
15739438,539,France,Male,30,0,0,2,1,0,144881.694,0
15611759,850,Spain,Female,57,8,114098.67,2,1,1,119068.641,0
15661629,522,Spain,Male,34,9,113792.661,1,1,0,156823.668,1
15633950,737,France,Male,41,1,91764.666,1,1,1,111192.552,0
15592386,520,France,Male,58,3,0,2,0,1,29511.018,0
15803716,706,Spain,Male,28,3,0,2,0,1,163389.303,0
15696674,643,Germany,Female,45,2,135758.637,1,0,1,2087.964,1
15706365,648,France,Female,50,9,92282.013,1,1,1,170588.871,0
15745088,443,Germany,Female,29,9,89124.849,2,1,0,9846.36,0
15676715,640,France,Male,68,9,0,2,1,1,179544.042,0
15613085,628,Spain,Female,33,3,0,1,1,1,169373.925,0
15633537,540,Germany,Female,42,9,78544.269,2,1,0,155315.376,0
15594720,460,Germany,Female,35,8,92468.619,2,1,1,170405.64,0
15684042,636,Germany,Male,34,2,36094.959,2,0,1,48160.944,0
15583303,593,France,Female,29,2,137038.887,1,1,0,30603.996,0
15611579,801,Spain,Male,42,4,127752.903,1,1,1,9538.461,0
15774696,640,Germany,Female,75,1,95677.119,2,0,1,102085.893,0
15694506,611,Germany,Male,31,0,97096.329,2,1,1,165139.182,0
15688074,802,Germany,Male,31,1,112512.348,1,1,1,168892.281,0
15759537,717,Germany,Male,35,7,52622.433,2,1,1,155213.451,0
15758449,769,France,Female,39,8,0,1,0,1,18914.4,0
15583456,745,Germany,Male,45,10,105508.467,3,1,1,110142.918,1
15667871,572,Spain,Male,35,4,137151.234,1,1,0,115311.294,0
15677371,629,Spain,Female,30,2,30612.267,1,1,0,17613.567,0
15629677,687,Spain,Female,39,2,0,3,0,0,169335.54,1
15713578,483,France,Female,50,9,0,2,1,1,99918.216,0
15591509,690,France,Male,36,7,91424.799,2,1,0,111397.635,0
15568240,492,Germany,Female,30,10,69451.983,2,0,1,132030.198,0
15622993,709,Germany,Male,28,8,112226.148,2,1,0,130726.215,0
15689294,705,Germany,Male,44,3,95341.464,1,1,0,74217.321,0
15720910,560,France,Female,66,9,0,1,1,1,14335.641,0
15721181,611,Spain,Male,46,6,0,2,1,0,41297.697,0
15776433,730,Spain,Male,62,2,0,2,1,1,167840.955,0
15748936,709,Spain,Female,45,2,0,2,0,1,146630.385,0
15717225,544,France,Female,21,10,145373.364,2,1,0,8336.493,0
15685226,712,Germany,Female,29,7,132479.163,1,1,1,76439.16,0
15785611,752,Germany,Male,38,3,164792.061,1,1,1,64401.408,0
15573456,648,Spain,Male,46,9,114488.1,2,1,0,69665.355,1
15684548,556,Spain,Male,38,8,0,2,0,0,375.669,1
15620505,594,Spain,Female,24,0,87640.686,1,1,1,64264.653,0
15807432,645,Germany,Female,37,2,123232.581,2,0,1,138060.216,0
15584766,557,France,Male,33,3,49053.195,1,1,1,333.945,0
15612187,547,Germany,Male,32,8,140154.165,1,1,0,61010.991,0
15762218,701,France,Female,39,9,0,2,0,1,131305.41,0
15646372,616,France,Female,66,1,122258.169,1,1,0,165456.459,1
15690452,605,France,Male,52,1,57014.775,1,1,0,97998.696,0
15747795,593,Germany,Female,38,4,116549.478,1,1,1,138664.143,0
15781589,751,Spain,Male,52,8,0,2,0,1,161362.665,0
15732674,443,Spain,Male,36,6,63394.209,2,0,1,51243.687,0
15642291,685,France,Male,23,8,0,2,1,1,101015.127,0
15692761,718,France,Male,36,9,0,1,1,0,41318.883,0
15578045,538,Spain,Female,49,9,127290.636,1,0,0,156401.325,1
15745354,611,Spain,Female,37,4,0,2,1,0,113126.634,0
15701376,668,Germany,Male,37,10,137662.461,2,1,1,143627.049,0
15691625,537,Germany,Female,41,3,124475.706,1,1,0,96085.323,0
15566594,709,Spain,Male,23,10,0,2,0,0,116631.162,0
15760431,850,France,Male,38,1,0,2,1,1,72005.985,0
15686302,745,Spain,Female,31,3,111895.956,1,1,1,126406.368,0
15801559,693,Germany,Female,41,9,163315.332,3,1,1,169136.487,1
15810432,795,Spain,Male,35,8,0,2,1,0,150439.824,0
15809616,626,Spain,Male,26,8,0,2,0,0,172278.639,0
15720559,487,Germany,Female,61,5,99331.227,1,0,0,10246.005,1
15695632,556,France,Female,39,9,80629.515,1,1,1,85408.29,0
15659843,643,France,Female,46,6,0,2,0,0,96103.431,0
15615624,605,France,Female,28,6,0,2,0,0,143557.668,0
15810418,756,Germany,Female,60,3,104332.401,1,1,0,84171.771,1
